Date,Time,Height,Flood
2014-08-28,03,93.744,0
2014-08-28,04,93.745,0
2014-08-28,09,93.75,0
2014-08-28,10,93.752,0
2014-08-28,13,93.757,0
2014-08-28,16,93.759,0
2014-08-28,17,93.764,0
2014-08-28,20,93.77,0
2014-08-28,22,93.7755,0
2014-08-29,01,93.782,0
2014-08-29,03,93.787,0
2014-08-29,04,93.791,0
2014-08-29,06,93.797,0
2014-08-29,08,93.803,0
2014-08-29,10,93.809,0
2014-08-29,12,93.815,0
2014-08-29,14,93.821,0
2014-08-29,16,93.828,0
2014-08-29,18,93.836,0
2014-08-29,19,93.841,0
2014-08-29,21,93.847,0
2014-08-29,22,93.851,0
2014-08-30,00,93.857,0
2014-08-30,02,93.864,0
2014-08-30,03,93.87,0
2014-08-30,04,93.873,0
2014-08-30,06,93.879,0
2014-08-30,07,93.884,0
2014-08-30,09,93.889,0
2014-08-30,10,93.895,0
2014-08-30,12,93.901,0
2014-08-30,13,93.906,0
2014-08-30,15,93.912,0
2014-08-30,16,93.9075,0
2014-08-30,17,93.92,0
2014-08-30,18,93.926,0
2014-08-30,20,93.932,0
2014-08-30,22,93.939,0
2014-08-31,00,93.945,0
2014-08-31,02,93.951,0
2014-08-31,04,93.9585,0
2014-08-31,06,93.964,0
2014-08-31,08,93.969,0
2014-08-31,10,93.976,0
2014-08-31,13,93.983,0
2014-08-31,15,93.9785,0
2014-08-31,16,93.991,0
2014-08-31,17,93.996,0
2014-08-31,20,94.003,0
2014-08-31,22,94.009,0
2014-09-01,01,94.016,0
2014-09-01,04,94.0215,0
2014-09-01,07,94.028,0
2014-09-01,10,94.034,0
2014-09-01,13,94.041,0
2014-09-01,14,94.048,0
2014-09-01,16,94.0555,0
2014-09-01,17,94.062,0
2014-09-01,19,94.068,0
2014-09-01,21,94.074,0
2014-09-01,22,94.077,0
2014-09-02,01,94.082,0
2014-09-02,03,94.087,0
2014-09-02,04,94.089,0
2014-09-02,08,94.095,0
2014-09-02,10,94.099,0
2014-09-02,13,94.104,0
2014-09-02,16,94.109,0
2014-09-02,21,94.115,0
2014-09-02,22,94.116,0
2014-09-03,04,94.1225,0
2014-09-03,09,94.128,0
2014-09-03,10,94.129,0
2014-09-03,16,94.135,0
2014-09-03,19,94.14,0
2014-09-03,22,94.143,0
2014-09-04,03,94.148,0
2014-09-04,04,94.15,0
2014-09-04,10,94.1545,0
2014-09-04,14,94.161,0
2014-09-04,16,94.162,0
2014-09-04,22,94.1675,0
2014-09-05,04,94.172,0
2014-09-05,10,94.175,0
2014-09-05,16,94.175,0
2014-09-05,18,94.18,0
2014-09-05,22,94.182,0
2014-09-06,04,94.185,0
2014-09-06,10,94.187,0
2014-09-06,16,94.186,0
2014-09-06,17,94.191,0
2014-09-06,22,94.192,0
2014-09-07,04,94.195,0
2014-09-07,10,94.196,0
2014-09-07,16,94.195,0
2014-09-07,17,94.201,0
2014-09-07,22,94.202,0
