Basin,SiteID,Location,Latitude,Longitude,Elevation
Broken River,404204,BOOSEY CREEK @ TUNGAMAH,-36.12377778,145.8319167,119.837
Broken River,404207,HOLLAND CREEK @ KELFEERA,-36.61116667,146.0591944,181.961
Broken River,404210,BROKEN CREEK @ RICES WEIR,-35.96777778,144.9618889,94.935
Broken River,404214,BROKEN CREEK @ KATAMATITE,-36.09852778,145.6851667,114.69
Broken River,404216,BROKEN RIVER @ GOORAMBAT (CASEY WEIR H. GAUGE),-36.47352778,145.94175,159.894
Broken River,404217,BROKEN CREEK (CHANNEL) @ CASEY WEIR (NEAR GOORAMBAT),-36.47313889,145.9414444,159.411
Broken River,404222,BROKEN RIVER @ ORRVALE,-36.43138889,145.4497778,108.63
Broken River,404224,BROKEN RIVER @ GOWANGARDIE,-36.43366667,145.6691944,127.832
Broken River,404226,BROKEN RIVER @ LAKE MOKOAN DIVERSION WEIR,-36.61597222,145.9828611,179.647
Broken River,404227,BROKEN RIVER REGULATOR @ BROKEN RIVER BY-PASS CHANNEL,-36.61563889,145.9807778,175.251
Broken River,404234,WHISKEY CREEK U/S MCCALLSAY RESERVOIR,-36.79263889,146.2086944,470.06
Broken River,404235,RYANS CREEK U/S MCCALLSAY RESERVOIR,-36.81880556,146.2185,507.816
Broken River,404238,BROKEN CREEK @ WALSH'S BRIDGE,-36.09883333,145.3317778,102.712
Broken River,404239,BROKEN CREEK @ WAGGARANDALL WEIR,-36.29294444,145.8342778,135.9
Broken River,404241,BROKEN R @ CASEY'S WEIR FISH LADDER,-36.47363889,145.9414167,156.758
Broken River,404243,BROKEN RIVER @ D/S BACK CREEK JUNCTION,-36.84536111,146.0106944,235.335
Broken River,404245,MT SAMARIA CREEK @ WARNOCK ROAD,-36.77955556,146.0289722,221.654
Broken River,404246,LIMA CREEK D/S MIDLAND HWY SWANPOOL,-36.72172222,145.9931111,193.956
Broken River,404247,RYANS CREEK U/S LOOMBAH RESERVOIR,-36.73041667,146.2261389,342.298
Broken River,404248,BROKEN CK AT NUMURKAH,-36.09483333,145.4426111,107.607
Broken River,404249,BROKEN CREEK @ SCHOOL RD,-36.14413889,145.7968889,121.281
Broken River,404250,BROKEN CREEK @ LARISSA ROAD,-36.09875,145.5941667,111.999
Broken River,404251,NINE MILE CREEK @ SELLICKS ROAD,-36.13108333,145.4860278,107.708
Broken River,404713,MUCKATAH MAIN DRAIN U/S NARING HALL ROAD,-36.05508333,145.4896944,107.599
Broken River,404714,MUCKATAH CREEK @ KATAMATITE EAST SCHOOL RD,-36.031,145.7598889,116.761
Broken River,409202,MURRAY RIVER @ TOCUMWAL,-35.81352778,145.5566944,108.682
Broken River,409216,MURRAY RIVER @ YARRAWONGA WEIR (HEAD GAUGE),-36.00891667,146.0006111,124.719
Broken River,409217,MURRAY RIVER @ COBRAM,-35.91486111,145.6685278,113.91
